text,tokenized,cluster
aku nyimak pesertanya anonim,aku nyimak pesertanya anonim,1
resep terahir tiga berikutnya,resep terahir tiga berikutnya,1
tensi bangun pagi bawaannya pening melulu,tensi bangun pagi bawaannya pening melulu,1
korabn kdrt dan ayahku egois,korabn kdrt dan ayahku egois,1
berobat jga nya nyerah puskesmas,berobat jga nya nyerah puskesmas,1
muak sistem kehidupan modern,muak sistem kehidupan modern,1
jualan gula semut laku ya,jualan gula semut laku ya,1
hanya mencoba menghibur diriku,hanya mencoba menghibur diriku,1
yang pnya info loker dong inbox,yang pnya info loker dong inbox,1
kalian hidupnya menderita,kalian hidupnya menderita,1
menggapai kemuliaan sikap sederhana,menggapai kemuliaan sikap sederhana,1
setahun luar rumah hitung jari,setahun luar rumah hitung jari,1
berbohong kebaikan di perbolehkan,berbohong kebaikan di perbolehkan,1
putuskan peserta kopdar dibatasi,putuskan peserta kopdar dibatasi,1
gadis jualan gorengan dipuji pekerja keras,gadis jualan gorengan dipuji pekerja keras,1
denyut nadi nadinya cepat,denyut nadi nadinya cepat,1
ayo sholat jumat sos lumayan exp besar,ayo sholat jumat sos lumayan exp besar,1
pelanggan mengeluh pelayannya,pelanggan mengeluh pelayannya,1
sekarang produk baru laku produk,sekarang produk baru laku produk,1
mending warkop klu lncar cabang,mending warkop klu lncar cabang,1
testimoni kanker serviks melahirkan,testimoni kanker serviks melahirkan,1
lebih damai berada malaysia,lebih damai berada malaysia,1
tanda putih dijalan bekas kecelakaan,tanda putih dijalan bekas kecelakaan,1
baperan sensitif,baperan sensitif,1
mei lalusudah coba hipnoterapi,mei lalusudah coba hipnoterapi,1
gx kuat dilema kesendirian,gx kuat dilema kesendirian,1
senang birthday pemilik kebun buah naga,senang birthday pemilik kebun buah naga,1
berubah mudahyang sulit istiqomah,berubah mudahyang sulit istiqomah,1
hidup berada titik terendah,hidup berada titik terendah,1
fobsos banjir masuk kamar,fobsos banjir masuk kamar,1
semenjak pesulap merah bongkar praktik dukun,semenjak pesulap merah bongkar praktik dukun,1
belum percaya azab segera,belum percaya azab segera,1
dipaksanya merasakan panasnya jakarta,dipaksanya merasakan panasnya jakarta,1
pendidikan tercapai alhamdulilah,pendidikan tercapai alhamdulilah,1
hidung mampet tenggorokan ganjel dada ganjel,hidung mampet tenggorokan ganjel dada ganjel,1
jangan  nyanyi vihara,jangan nyanyi vihara,1
cocok ganti gibran wakil presiden,cocok ganti gibran wakil presiden,1
segera membumi menyatu alam,segera membumi menyatu alam,1
akan serba lagu blackpink waktunya,akan serba lagu blackpink waktunya,1
berasa nyerah buntu jalan pikiranku,berasa nyerah buntu jalan pikiranku,1
kah blum tidurdisni,kah blum tidurdisni,1
nganggur setahun brenti kuliah,nganggur setahun brenti kuliah,1
kanker serviks pulih terapi produk,kanker serviks pulih terapi produk,1
nostalgia ayo curahkan kolom komentar,nostalgia ayo curahkan kolom komentar,1
beh dipalak disebut binatang,beh dipalak disebut binatang,1
anxietydisorder kecemasanberlebih asamlambung,anxietydisorder kecemasanberlebih asamlambung,1
anxietydisorder asamlambung kecemasanberlebih,anxietydisorder asamlambung kecemasanberlebih,1
mohon rekomendasi fhisikiater daerah makassar,mohon rekomendasi fhisikiater daerah makassar,1
anxirtydisorder asamlambung kecemasanberlebih,anxirtydisorder asamlambung kecemasanberlebih,1
saja makin begah temulawak kunyit,saja makin begah temulawak kunyit,1
sholat masjid berjamaah mau ambruk,sholat masjid berjamaah mau ambruk,1
sv nomer bro bisa ngurangin stress,sv nomer bro bisa ngurangin stress,1
bertobatlah psikiater dapat ketenangan,bertobatlah psikiater dapat ketenangan,1
tanya gelembung udara infus aman,tanya gelembung udara infus aman,1
muncul cemasnya iya karu karuan,muncul cemasnya iya karu karuan,1
lingkunganku dipenuhi manipulasi,lingkunganku dipenuhi manipulasi,1
tumor otak membaik konsumsi produk,tumor otak membaik konsumsi produk,1
numpang tnya anak cwe wajib sunat nda,numpang tnya anak cwe wajib sunat nda,1
butuh suport lelah,butuh suport lelah,1
siapa ngalami anhedonia hampa,siapa ngalami anhedonia hampa,1
bismillah yakinlah pertolongan allah dekat,bismillah yakinlah pertolongan allah dekat,1
anjing nyiksa batin bner sifat introvert,anjing nyiksa batin bner sifat introvert,1
sharing kesehatan jiwa semoga menambah wawasan,sharing kesehatan jiwa semoga menambah wawasan,1
teknik relaksasi tarik nafas dalam detik,teknik relaksasi tarik nafas dalam detik,1
ada kuping lembek parnooo,ada kuping lembek parnooo,1
awali kerja air hangat promag bismillah,awali kerja air hangat promag bismillah,1
spa snih blum tdur langsung sikiater,spa snih blum tdur langsung sikiater,1
pikiran nano gays gx karuan bsok nikah,pikiran nano gays gx karuan bsok nikah,1
kopdar yokk daerah jabodetabek orang,kopdar yokk daerah jabodetabek orang,1
usgrsu royal prima medan usg rsuroyalprimamedan,usgrsu royal prima medan usg rsuroyalprimamedan,1
mudah hilangin pobia sosial kesal,mudah hilangin pobia sosial kesal,1
maaf menyimpang ya ig lambat,maaf menyimpang ya ig lambat,1
kopdar yokk daerah jabodetabek orang,kopdar yokk daerah jabodetabek orang,1
susahnyaaa hamil ngidam asem asem,susahnyaaa hamil ngidam asem asem,1
sni tidak axiety parah lahiran sesar,sni tidak axiety parah lahiran sesar,1
adik habis interview kerja ditoko sepeda listrik,adik habis interview kerja ditoko sepeda listrik,1
hidung mampet tenggorokan tercekik ledir lengket,hidung mampet tenggorokan tercekik ledir lengket,1
astagfirullah pinggang kananmana aga nyesek,astagfirullah pinggang kananmana aga nyesek,1
gangguan lambungnya normal,gangguan lambungnya normal,1
boleh makan permen selagi aslmbng blom smbuh,boleh makan permen selagi aslmbng blom smbuh,1
laillahaila anta subhanak kuntu minadzolimin,laillahaila anta subhanak kuntu minadzolimin,1
mohon rekomendasi psikiater bagus jakarta,mohon rekomendasi psikiater bagus jakarta,1
perlu mennanggapi cibiran berlebihan,perlu mennanggapi cibiran berlebihan,1
sekali bos pelit standar ganda,sekali bos pelit standar ganda,1
salam sdg himpitan sekali hutang,salam sdg himpitan sekali hutang,1
proses pembuatan selang air reels info media unik,proses pembuatan selang air reels info media unik,1
saran hp saamsung sejutaan batry minimal,saran hp saamsung sejutaan batry minimal,1
dewasa berniat pacaran,dewasa berniat pacaran,1
merasa tertinggal,merasa tertinggal,1
tensi normal terasa lesu kesal mengantuk,tensi normal terasa lesu kesal mengantuk,1
dateng kondangan duduk belakang,dateng kondangan duduk belakang,1
bawa nonton konser mall alhamdulilah senang,bawa nonton konser mall alhamdulilah senang,1
salam sdg himpitan sekali hutang,salam sdg himpitan sekali hutang,1
tidur baring bantal tinggi rendah,tidur baring bantal tinggi rendah,1
ikhlas sabar berusaha berdamai sensasi,ikhlas sabar berusaha berdamai sensasi,1
cenderung mempertahankan kehidupannya,cenderung mempertahankan kehidupannya,1
irfan ghafur konten kreator terlalu ganteng,irfan ghafur konten kreator terlalu ganteng,1
sholawat wali songo pencipta lagunya ya,sholawat wali songo pencipta lagunya ya,1
ngeharepin cinta dikasihnya napsu,ngeharepin cinta dikasihnya napsu,1
berhenti pmo cenderung depresi tertekan,berhenti pmo cenderung depresi tertekan,1
yang telinganya berdenging artinya,yang telinganya berdenging artinya,1
dikeluarin sekolah gara absen,dikeluarin sekolah gara absen,1
biasa makan biskuit cocok biskuit,biasa makan biskuit cocok biskuit,1
ingat dulu keliling jualan pakai sepeda,ingat dulu keliling jualan pakai sepeda,1
sensasi terberat melawan pikiranmu,sensasi terberat melawan pikiranmu,1
mata sensitif angin dominan kering solusinya,mata sensitif angin dominan kering solusinya,1
mahalnya kejujuran ketika berjanji,mahalnya kejujuran ketika berjanji,1
grub apakah yang kediri jawa timur,grub apakah yang kediri jawa timur,1
utsukushi mengaktifkan cell tubuh,utsukushi mengaktifkan cell tubuh,1
mendengarkan lagu lampu kuning juicy luicy,mendengarkan lagu lampu kuning juicy luicy,1
nyeri tengkuk leher kepala muka cenat cenut,nyeri tengkuk leher kepala muka cenat cenut,1
tuhan lelah berjuang menghidupi,tuhan lelah berjuang menghidupi,1
lihat tni prada live ngaji papua,lihat tni prada live ngaji papua,1
adakah yang daftar tni anggota tni,adakah yang daftar tni anggota tni,1
mendengarkan lagu lampu kuning juicy luicy,mendengarkan lagu lampu kuning juicy luicy,1
kau bertemu diriku cacat,kau bertemu diriku cacat,1
butuh khusus hening suara bising,butuh khusus hening suara bising,1
menyendiri berbicara diri,menyendiri berbicara diri,1
pilek buang ingus terlalu kenceng,pilek buang ingus terlalu kenceng,1
besok pilkada nyoblos aku pasti golput,besok pilkada nyoblos aku pasti golput,1
ditemukan kunci terbebas anxiety,ditemukan kunci terbebas anxiety,1
phobia kata pembahasan ginj l,phobia kata pembahasan ginj l,1
yang diagnosa palpitasi brobatx poli apah,yang diagnosa palpitasi brobatx poli apah,1
